convective_day,max_risk,primary_class,ofb_mcs_boundary_regime,dominant_hazards,storm_modes,boundary_drivers,forecast_challenges,ofb_mcs_boundary_reason,day_narrative
2019-03-13,ENH,qlcs_bowing_wind_tornado,likely,damaging wind|brief tornadoes|hail,weakening MCS|intensifying squall line|embedded circulations,remnant convective circulation|cold front|gust front,prior_convection|instability_recovery|nocturnal_evolution,A remnant MCS/gust-front structure was repeatedly referenced as part of the convective evolution and severe-line redevelopment.,The day was dominated by remnants of an overnight linear MCS and later renewed line development from Texas and the Arklatex toward the lower Mississippi Valley. Severe potential was mainly damaging wind with embedded tornado potential where recovery and low-level shear overlapped.
2019-04-06,ENH,mcv_mcs_outflow_reintensification,core,damaging wind|large hail|tornadoes,MCS|embedded supercells|clusters,ongoing convection|convective outflow|warm-sector boundaries,prior_convection|ofb_placement|storm_coverage_uncertain,The Day 1 discussion described a very complex scenario controlled by widespread morning convection and subsequent redevelopment along its boundaries.,"Central and east Texas into the Ark-La-Miss saw a messy severe setup with widespread convection already underway. The packet points to low confidence in any single scenario, but organized storms and embedded supercells supported all severe hazards."
2019-04-07,ENH,forward_propagating_mcs_wind,core,damaging wind|hail|tornadoes,linear MCS|bowing segments|warm-sector cells,linear MCS cold pool|outflow/gust front|warm-sector instability,mcs_timing|instability_recovery|mode_transition,The Enhanced risk was explicitly maintained ahead of an organized linear MCS and its outflow-driven wind and tornado threat.,"A large linear MCS tracked from southeast Texas into Louisiana and the Tennessee Valley. Damaging wind was the lead hazard, with a couple tornadoes possible along and just ahead of the convective line."
2019-04-08,ENH,mcv_mcs_outflow_reintensification,core,damaging wind|hail,re-intensifying squall line|clusters,long-lived MCS remnants|Appalachian lee trough|destabilizing warm sector,prior_convection|instability_recovery|mcs_timing,The outlook tied the risk to a long-lived MCS weakening over Tennessee and re-intensifying after crossing the Appalachians.,"A prior MCS was expected to cross the Appalachians and renew over southern Virginia and northern North Carolina. The main risk was damaging wind from an organized squall line, with hail and a brief tornado remaining secondary."
2019-04-18,ENH,mcv_mcs_outflow_reintensification,core,damaging wind|tornadoes,organized line|embedded supercells|MCV convection,remnant MCV|line of storms|warm advection corridor,mcv_track|prior_convection|mode_transition,The late outlook explicitly cited a remnant mesoscale convective vortex as central to the evening severe-wind and tornado corridor.,"Lower Mississippi Valley convection became organized into a line with MCV assistance and moved into Alabama, Georgia, and the Florida Panhandle. The dominant risk was damaging wind with several tornadoes possible, including a few significant earlier in the day."
2019-04-30,MDT,mixed_discrete_to_qlcs_outbreak,likely,tornadoes|large hail|damaging wind,discrete supercells|QLCS|storm clusters,warm front|dryline/front intersection|outflow-influenced boundary,ofb_placement|cap_conditional|mode_transition,"The MDT upgrade focused on a boundary-rich, uncapped environment in Oklahoma, with outflow and warm-front placement affecting tornado potential.","A corridor from the southern Plains toward the mid Mississippi Valley supported tornadoes, large hail, and damaging wind. Oklahoma and north Texas had the main tornadic supercell concern before storms evolved into linear segments farther east."
2019-05-01,ENH,elevated_nocturnal_hail_mcs,likely,damaging wind|hail|brief tornadoes,MCS|elevated storms|isolated supercells,dryline|outflow-modified frontal zone|low-level jet,prior_convection|nocturnal_evolution|mode_transition,The risk persisted with convective complexes and outflow-modified boundaries from north Texas into southern Oklahoma.,"North Texas and southern Oklahoma remained the focus for severe storms after the prior day's activity. The primary threat was wind and hail from ongoing storms and nocturnal redevelopment, with a brief tornado possible in stronger cells."
2019-05-06,ENH,forward_propagating_mcs_wind,core,large hail|damaging wind|isolated tornado,arcing MCS|clusters|embedded supercells,effective boundary|outflow-driven MCS|low-level warm advection,mcs_timing|ofb_placement|nocturnal_evolution,MDs described an arcing MCS and cold-pool surge as central to the late severe wind and hail threat.,"Severe storms developed from the Texas Panhandle and southeast Colorado into Kansas and western Missouri. The event became increasingly MCS-driven, with large hail early and a mixed wind/hail threat overnight."
2019-05-07,MDT,dryline_supercell_hail_tornado,likely,strong tornadoes|very large hail|damaging wind,supercells|organized clusters|MCS,dryline|outflow boundaries|surface low,cap_conditional|mode_transition|prior_convection,"Outflow and upscale growth affected storm mode, but the MDT risk was rooted in dryline and warm-sector supercell potential.","The Texas Panhandle and South Plains into western Oklahoma had a higher-end supercell environment with strong tornadoes and very large hail possible. Convective evolution became messy overnight as clusters and MCS segments expanded, maintaining wind and hail risks."
2019-05-08,ENH,qlcs_bowing_wind_tornado,likely,damaging wind|tornadoes|hail,squall line|embedded circulations|conditional supercells,squall line|warm front|outflow-modified warm sector,mode_transition|boundary_interaction|instability_recovery,"The primary risk followed an organized line and its convective boundaries, while a separate warm-front supercell threat was conditional.",Central/east Texas into Louisiana and Arkansas had a damaging-wind and tornado threat tied to a line of storms with embedded rotation. A more conditional warm-front risk extended into Iowa and Illinois where initiation and destabilization were uncertain.
2019-05-18,ENH,mcv_mcs_outflow_reintensification,core,damaging wind|tornadoes|large hail,linear MCS|embedded supercells|clusters,linear MCS|lead shortwave trough|outflow/warm-sector boundaries,prior_convection|mcs_timing|mode_transition,The outlook and MDs centered on an ongoing linear MCS and downstream severe redevelopment across the Arklatex and lower Mississippi Valley.,"A linear MCS from east Texas into the lower Mississippi Valley drove the main severe corridor. Embedded stronger cells and downstream destabilization kept wind, tornado, and hail potential alive while northern Oklahoma and southern Kansas had another severe area."
2019-05-20,HIGH,high_end_tornado_outbreak,likely,violent tornadoes|giant hail|damaging wind,discrete supercells|semi-discrete supercells|bowing segments late,dryline|warm front|outflow boundary,ofb_placement|mode_transition|cap_conditional,"Outflow and warm-front placement modulated the tornado corridor, but the High risk was anchored by the dryline/warm-sector outbreak environment.","A rare southern Plains parameter space supported a forecast tornado outbreak from northwest Texas into western and central Oklahoma. The day began with expectations for long-track violent tornadoes and giant hail, but later outflow undercutting and storm interactions reduced parts of the open warm-sector tornado threat while keeping significant tornado potential near favored boundaries."
2019-05-21,ENH,qlcs_bowing_wind_tornado,likely,damaging wind|tornadoes|large hail,squall line|embedded supercells|bowing segments,pre-frontal squall line|warm front|outflow-modified boundary,prior_convection|instability_recovery|mode_transition,"The severe risk followed a convectively modified squall line, with embedded tornado potential affected by destabilization and boundary interactions.","A squall line moved from Oklahoma and Arkansas toward Missouri and Illinois with rejuvenation expected as instability recovered. Embedded circulations and line breaks supported tornadoes, including a significant tornado threat near the St. Louis area, while damaging wind remained common."
2019-05-23,MDT,multi_region_multi_mode,likely,large hail|damaging wind|tornadoes,supercells|organizing MCS|bowing line,central Plains warm front|southern High Plains dryline|low-level jet,mode_transition|nocturnal_evolution|mcs_timing,Upscale growth and prior/ongoing storms helped define the late-night wind corridor while synoptic boundaries also remained important.,"Severe storms extended from the central Plains into the southern High Plains, with ongoing supercells producing hail and tornadoes. A strengthening low-level jet supported organization into convective systems overnight, increasing the damaging-wind risk into Iowa and Missouri."
2019-05-24,ENH,forward_propagating_mcs_wind,core,damaging wind|brief tornadoes|hail,MCS|mature storms|supercell structures,convective outflow|low-level jet|return-flow moisture plume,mcs_timing|ofb_placement|nocturnal_evolution,The late outlook specifically centered severe risk along the leading edge of conglomerate convective outflow and upscale-growing convection.,"The day was another nocturnal convective-system episode from the south-central Plains into the lower Missouri Valley and Upper Midwest. Wind gusts and brief tornadoes were tied to mature storms and outflow-driven leading edges, with hail continuing in stronger supercell structures."
